Date,ADM,BF.B,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
<<<<<<< HEAD
=======
2007-12-26,36.02602,,13.378023,9.984651,27.134451000000002,48.506638,54.430965,,27.105311999999998,34.259937,,18.486475,19.702963,8.422804,30.505284999999997,39.308777,,46.549725,20.051454999999997,10.111508,17.097906,31.085524,7.898333999999999,14.025267999999999,57.340351,54.05699499999999,,36.088871000000005,23.77091,23.009882,42.352612,13.72354,31.533625,37.704334
2007-12-27,36.254383000000004,,13.244627,9.847873,26.969568,48.074669,53.868080000000006,,26.947502000000004,34.139431,,18.257164000000003,19.394358,8.416684,30.205231,38.823570000000004,,46.157887,19.825508,10.059137,16.796959,30.318765999999997,7.531667,13.79721,56.909988,53.947475,,35.919498,23.479834,22.558294,41.376343,13.643492000000002,31.337646000000003,37.228939000000004
2007-12-28,37.081207,,13.322443,9.847873,27.048582,48.008765999999994,54.14565699999999,,26.977562,34.432097999999996,,18.265504999999997,19.502879999999998,8.412606,30.3668,38.904441999999996,,46.450103999999996,19.815966,10.089067,16.807164999999998,30.518444,7.413333000000001,13.748342999999998,57.154865,54.210316000000006,,36.194721,23.441027,22.77334,41.368396999999995,13.696857000000001,31.533625,37.470528
2007-12-31,36.561481,,13.222396,9.730894000000001,26.780628000000004,47.715897,53.790974,,26.849813,34.216904,,18.182117,19.329926999999998,8.253571,30.312953999999998,38.544216,,46.051613,19.529567999999998,9.991804,16.643933999999998,30.278837,7.381667,13.679559,56.316418000000006,53.604324,,36.300568,22.936497,22.371918,40.971542,13.634597,31.092696999999998,37.041889000000005
2008-01-02,35.640159999999995,,12.938943,9.601315,26.567652000000002,46.778702,52.541805000000004,,26.286215000000002,33.872581,,17.977823,19.173927,8.200558000000001,29.828245000000003,37.911986999999996,,45.706268,19.440464000000002,9.602755,16.348089,29.63188,7.196667,13.561914000000002,55.863795999999994,52.793907,,35.975947999999995,22.781260999999997,21.953209,39.947659,13.438927,30.488489,36.550922
2008-01-03,36.010258,,12.927823,9.622912,26.756578,46.449226,51.755306,,26.233615999999998,31.651714000000002,,18.032026000000002,19.089151,8.037443,29.920568,38.036961,,45.945362,19.644123,9.662611,16.220568,29.599936,7.15,13.645178,56.227379000000006,52.793907,,35.086791999999996,22.800667,22.00375,40.328644,12.674039,28.626844000000002,36.145645
2008-01-04,36.104759,,12.772202,9.502333,27.062313,46.449226,50.621807000000004,,26.038244,32.082119,,17.456667000000003,18.889063,8.088417999999999,29.658979,37.617915999999994,,45.805893,19.682312,9.479308999999999,16.042036,29.272474,6.9166669999999995,13.556481,56.056720999999996,52.582188,,34.642212,22.102093,21.859367000000002,40.233376,12.371639,27.998133000000003,35.631294
2008-01-07,36.11264,,12.927823,9.588718,27.471106,46.683521,50.876259000000005,,26.293736,32.882645000000004,,17.481682,19.272274,8.143469999999999,29.743615999999996,38.419243,,46.151249,20.146926999999998,9.565344999999999,16.291979,29.687794,6.918334,13.978201,57.370029,52.925343000000005,,34.748051000000004,21.791613,21.982086,40.9636,12.878602,28.634998,36.285942
2008-01-08,35.451183,,12.872246,9.75789,27.474539,46.207607,50.097466,,25.925514,32.305923,,17.44416,19.605803,7.974236,29.12813,38.37513,,45.360915999999996,20.229662,9.557865,16.118554999999997,29.951368,7.128334,14.175486,57.830063,53.064049,,34.769218,21.830420999999998,21.332373,40.796921000000005,12.425007,27.949135,35.826134
2008-01-09,35.585037,,13.305765,10.013444,27.818047999999997,45.907416999999995,51.870975,,25.790247,32.013241,,17.494188,19.640186,8.029287,29.112734000000003,38.169292,,46.157887,20.770647,9.849651,16.215464,29.719751000000002,7.308333,14.336573999999999,58.423653,52.961842000000004,,34.317585,20.695246,20.776506,40.328644,12.593992,27.557215000000003,36.550922
