Date,AIV,AMT,ARE,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2018-01-03,43.082767,141.679993,128.365845,176.163055,128.49388100000002,,107.453819,112.603241,26.60071,446.358246,63.263034999999995,240.611694,85.09819,132.114212,23.58,25.479692,19.870001000000002,36.443321000000005,18.0,98.51268,64.849129,55.984809999999996,63.406059,204.696182,68.387436,162.639999,100.949997,169.485687,38.023983,76.427521,60.119999,0.145,35.284702
2018-01-04,42.399544,139.610001,125.804878,173.01216100000002,125.642876,,106.20562,111.206718,26.09469,445.334259,62.172977,236.82208300000002,83.552032,127.444359,23.26,24.850079,19.82,36.266506,17.68,95.631271,63.21925400000001,54.77529499999999,62.135757,201.072891,66.149124,161.75,98.849998,164.52813700000002,37.250412,74.147591,58.650002,0.145,34.997353000000004
2018-01-05,42.142097,140.509995,126.06295800000001,172.665359,127.013733,,107.017944,111.91983799999998,26.253441,446.865234,62.123428000000004,237.466904,83.155586,127.2659,23.75,24.604135999999997,19.860001,36.148632,17.700001,95.20549799999999,64.01937099999999,54.735634,62.086135999999996,199.894821,66.129311,162.869995,99.860001,166.05883799999998,37.200821000000005,74.782005,58.349998,0.145,34.947807
2018-01-08,42.468857,142.009995,126.34088899999999,172.794174,125.901146,,107.334946,113.058846,26.273284999999998,455.524384,62.539635,236.266525,84.414314,128.802689,23.559998999999998,24.623812,20.389999,36.384384000000004,17.799999,95.532257,64.43425,54.805035,62.810607999999995,201.488678,66.67403399999999,162.889999,99.379997,167.145172,37.299999,73.92950400000001,58.450001,0.145,35.175709000000005
2018-01-09,41.567791,141.050003,125.387978,171.486252,124.57002299999999,,106.671219,111.52365900000001,26.025238,453.31735199999997,61.786499,234.391556,82.372589,124.37078899999999,23.24,24.102411,20.440001000000002,36.178104,17.219998999999998,94.076691,62.764866000000005,53.783885999999995,62.175456999999994,199.13253799999998,65.267662,163.550003,98.629997,163.471436,36.939999,73.086922,57.689999,0.145,34.937897
2018-01-10,41.052898,137.610001,124.355644,169.395569,123.824982,,103.937073,108.49291200000002,25.668049,440.413147,60.904545,230.37374900000003,81.62925,122.784424,23.32,23.964685,20.65,35.903057000000004,17.129998999999998,92.987503,62.261086,52.604110999999996,60.974617,194.14309699999998,64.71302800000001,160.889999,96.08000200000001,162.928268,36.41,72.026253,56.84,0.145,34.511829
2018-01-11,40.547905,134.970001,124.176979,168.216446,123.04021499999999,,102.71860500000001,106.908203,25.429920000000003,432.847595,60.409061,230.59201000000002,81.520218,122.15978999999999,23.23,23.777767,20.57,35.932528999999995,17.01,92.07,62.330231000000005,52.822216000000004,61.183029000000005,194.152985,63.752342000000006,157.5,95.730003,162.780136,36.080002,72.244331,56.23,0.145,34.670367999999996
2018-01-12,40.221146000000005,133.0,124.196831,166.690536,121.52033999999999,,102.599724,104.768852,25.509296,433.40432699999997,59.873943000000004,225.294464,81.520218,121.763199,23.190001000000002,23.256367,20.360001,35.578899,16.76,91.32,62.20182,52.267033000000005,61.381512,191.60876499999998,63.445313,155.940002,95.470001,163.451675,35.700001,71.292702,54.830002,0.145,34.937897
2018-01-16,40.310261,135.630005,124.008232,167.483215,120.75543200000001,,104.33332800000001,106.452606,25.598593,445.483368,60.121681,225.79049700000002,81.97614300000001,121.00968200000001,23.08,23.33507,20.32,35.588722,16.549999,92.199997,60.809020999999994,52.485138,61.669315000000005,191.806763,63.049152,159.850006,94.989998,162.987518,36.07,70.588898,54.52,0.145,34.442467
2018-01-17,40.557808,136.639999,124.574028,168.355164,121.689209,,105.036674,105.987099,25.826798999999998,439.31955,60.300056000000005,225.552399,82.719482,121.75329599999999,23.209999,23.33507,20.93,35.686954,16.6,92.870003,62.251208999999996,52.782566,62.383865,193.72731000000002,63.593876,161.470001,95.07,165.318176,36.080002,70.678116,54.98,0.145,34.888355
