Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P),# (B),% Wgt (B),% Wgt (D)
PAHC,PHIBRO ANIMAL HEALTH CORP-A,,0.019810346,1420105.1439855,37224.25017,38.15,USD,,0.020325237,-0.00051489
PTLA,PORTOLA PHARMACEUTICALS INC,,0.055039476,3945506.138766,125016.03735,31.56,USD,,0.056029171,-0.000989695
PRAH,PRA HEALTH SCIENCES INC,,0.11234167,8053215.297174,97425.7839,82.66,USD,,0.114012832,-0.001671161
PINC,PREMIER INC-CLASS A,,0.046793748,3354410.9744691,103435.42937,32.43,USD,,0.050483017,-0.003689268
PBH,PRESTIGE BRANDS HOLDINGS INC,,0.048494016,3476294.7105121,103062.39877,33.73,USD,,0.048674003,-0.000179986
PGNX,PROGENICS PHARMACEUTICALS,,0.012425986,890757.1645966,134555.46293,6.62,USD,,0.012656496,-0.000230509
PRTA,PROTHENA CORP PLC,,0.034438662,2468736.3341262,74674.42027,33.06,USD,,0.03458192,-0.000143257
PRSC,PROVIDENCE SERVICE CORP,,0.019580323,1403615.9483924,22251.36253,63.08,USD,,0.019410126,0.000170196
PTCT,PTC THERAPEUTICS INC,,0.02624653,1881483.1484274,75927.48783,24.78,USD,,0.026573603,-0.000327072
PLSE,PULSE BIOSCIENCES INC,,0.002344804,168087.3757904,9296.86813,18.08,USD,,0.002411524,-6.6719e-05
PBYI,PUMA BIOTECHNOLOGY INC,,0.049772402,3567935.840625,57780.3375,61.75,USD,,0.050441342,-0.00066894
QSII,QUALITY SYSTEMS INC,,0.015821749,1134182.517202,92135.0542,12.31,USD,,0.01599378,-0.00017203
DGX,QUEST DIAGNOSTICS INC,,0.371737495,26648011.0684227,265392.00347,100.41,USD,,0.372355301,-0.000617805
QDEL,QUIDEL CORP,,0.032738985,2346894.9273462,55052.66074,42.63,USD,,0.0335166,-0.000777614
QHC,QUORUM HEALTH CORP,,0.004790567,343411.9652672,60459.85304,5.68,USD,,0.004682113,0.000108453
RCM,R1 RCM INC,,0.014802153,1061092.70638,171143.9849,6.2,USD,,0.014985741,-0.000183588
RARX,RA PHARMACEUTICALS INC,,0.001361781,97619.3044955,14903.71061,6.55,USD,,0.003317526,-0.001955745
RDUS,RADIUS HEALTH INC,,0.033328946,2389186.2987938,63643.74797,37.54,USD,,0.034158393,-0.000829446
RETA,REATA PHARMACEUTICALS INC-A,,0.007693407,551502.0649423,23398.47539,23.57,USD,,0.008270805,-0.000577398
