Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
PAGP,PLAINS GP HOLDINGS LP-CL A,,0.202597176,7911361.3109552,375479.89136,21.07,USD
PUMP,PROPETRO HOLDING CORP,,0.002985644,116588.567238,7309.62804,15.95,USD
QEP,QEP RESOURCES INC,,0.160754944,6277434.227508,657322.95576,9.55,USD
RRC,RANGE RESOURCES CORP,,0.235047074,9178520.466285,666559.2205,13.77,USD
REGI,RENEWABLE ENERGY GROUP INC,,0.028576743,1115913.598992,103325.33324,10.8,USD
REN,RESOLUTE ENERGY CORP,,0.040017323,1562664.9542985,48909.70123,31.95,USD
REX,REX AMERICAN RESOURCES CORP,,0.033072675,1291478.4297728,16273.66973,79.36,USD
RNET,RIGNET INC,,0.015254194,595671.898455,44123.84433,13.5,USD
REI,RING ENERGY INC,,0.051680016,2018089.7310942,146556.98846,13.77,USD
RDC,ROWAN COMPANIES PLC-A,,0.098378533,3841653.3559521,332035.72653,11.57,USD
RES,RPC INC,,0.092138953,3597999.5591446,183011.16781,19.66,USD
RSPP,RSP PERMIAN INC,,0.322049396,12575936.0341998,322708.13534,38.97,USD
SN,SANCHEZ ENERGY CORP,,0.016059871,627133.3401516,206974.69972,3.03,USD
SD,SANDRIDGE ENERGY INC,,0.033433586,1305571.8917661,92791.17923,14.07,USD
SLB,SCHLUMBERGER LTD,,6.215872311,242728020.725306,3721680.78389,65.22,USD
CKH,SEACOR HOLDINGS INC,,0.050436541,1969532.383328,46017.11176,42.8,USD
SMHI,SEACOR MARINE HOLDINGS INC,,0.020269688,791525.4961605,46697.66939,16.95,USD
SEMG,SEMGROUP CORP-CLASS A,,0.103502867,4041757.136928,180435.58647,22.4,USD
SM,SM ENERGY CO,,0.129563759,5059427.4208238,276320.44898,18.31,USD
SND,SMART SAND INC,,0.007039877,274905.1964173,36605.21923,7.51,USD
SWN,SOUTHWESTERN ENERGY CO,,0.128840739,5031193.6926559,1356116.89829,3.71,USD
SRCI,SRC ENERGY INC,,0.14865532,5804947.396512,653710.2924,8.88,USD
SGY,STONE ENERGY CORP,,0.00326988,127687.8739712,4237.89824,30.13,USD
SPN,SUPERIOR ENERGY SERVICES INC,,0.092109561,3596851.7964928,420192.96688,8.56,USD
TEGP,TALLGRASS ENERGY GP LP,,0.074321135,2902218.8975864,144460.87096,20.09,USD
TRGP,TARGA RESOURCES CORP,,0.671182578,26209486.079745,578575.85165,45.3,USD
FTI,TECHNIPFMC PLC,,0.886466455,34616259.3718305,1197380.12355,28.91,USD
TELL,TELLURIAN INC,,0.002408353,94045.5128196,11038.20573,8.52,USD
TTI,TETRA TECHNOLOGIES INC,,0.035588324,1389713.78934,386031.60815,3.6,USD
RIG,TRANSOCEAN LTD,,0.284577662,11112675.628392,1187251.6697,9.36,USD
UPL,ULTRA PETROLEUM CORP,,0.001293168,50497.8505272,14105.54484,3.58,USD
UNT,UNIT CORP,,0.071013549,2773058.612928,144430.13609,19.2,USD
SLCA,US SILICA HOLDINGS INC,,0.151498004,5915953.3890897,221322.61089,26.73,USD
VLO,VALERO ENERGY CORP,,2.79676878,109213014.136894,1202521.6267,90.82,USD
WFT,WEATHERFORD INTERNATIONAL PL,,0.166082753,6485483.6023552,2533392.03217,2.56,USD
WLL,WHITING PETROLEUM CORP,,0.174874269,6828789.7672786,246259.99882,27.73,USD
WRD,WILDHORSE RESOURCE DEVELOPME,,0.031917138,1246355.0353774,73185.85058,17.03,USD
WMB,WILLIAMS COS INC,,1.552171764,60611859.6670822,2213727.52619,27.38,USD
INT,WORLD FUEL SERVICES CORP,,0.111246388,4344139.3955078,192388.81291,22.58,USD
WPX,WPX ENERGY INC,,0.389167617,15196883.1932136,1073226.21421,14.16,USD
