date_,PCEC96
2011-12-01,10310.2
2012-01-01,10354.4
2012-02-01,10398.0
2012-03-01,10384.7
2012-04-01,10399.5
2012-05-01,10400.2
2012-06-01,10390.3
2012-07-01,10422.2
2012-08-01,10405.9
2012-09-01,10444.3
2012-10-01,10426.9
2012-11-01,10454.3
2012-12-01,10478.5
2013-01-01,10495.5
2013-02-01,10509.1
2013-03-01,10502.3
2013-04-01,10504.4
2013-05-01,10523.6
2013-06-01,10543.8
2013-07-01,10554.0
2013-08-01,10564.1
2013-09-01,10601.3
2013-10-01,10624.7
2013-11-01,10679.6
2013-12-01,10682.3
2014-01-01,10666.1
2014-02-01,10706.4
2014-03-01,10767.6
2014-04-01,10778.6
2014-05-01,10799.3
2014-06-01,10837.4
2014-07-01,10856.5
2014-08-01,10937.6
2014-09-01,10935.5
2014-10-01,11004.4
2014-11-01,11055.4
2014-12-01,11075.8
2015-01-01,11114.7
2015-02-01,11133.2
2015-03-01,11188.0
2015-04-01,11200.7
2015-05-01,11243.0
2015-06-01,11240.2
2015-07-01,11272.9
2015-08-01,11303.2
2015-09-01,11337.6
2015-10-01,11347.3
2015-11-01,11376.6
2015-12-01,11413.9
2016-01-01,11399.8
2016-02-01,11447.5
2016-03-01,11444.3
2016-04-01,11505.1
2016-05-01,11532.9
2016-06-01,11575.3
2016-07-01,11594.1
2016-08-01,11604.0
2016-09-01,11656.3
2016-10-01,11668.3
2016-11-01,11698.0
2016-12-01,11740.1
2017-01-01,11728.4
2017-02-01,11729.6
2017-03-01,11816.1
2017-04-01,11827.4
2017-05-01,11859.8
2017-06-01,11871.6
2017-07-01,11895.8
2017-08-01,11891.8
2017-09-01,11962.1
2017-10-01,11982.7
2017-11-01,12042.4
2017-12-01,12080.5
2018-01-01,12053.6
2018-02-01,12041.8
2018-03-01,12102.3
2018-04-01,12145.1
