date_,PAYEMS
2009-09-01,130255.0
2009-10-01,130046.0
2009-11-01,130058.0
2009-12-01,129781.0
2010-01-01,129799.0
2010-02-01,129726.0
2010-03-01,129919.0
2010-04-01,130140.0
2010-05-01,130662.0
2010-06-01,130522.0
2010-07-01,130444.0
2010-08-01,130428.0
2010-09-01,130365.0
2010-10-01,130632.0
2010-11-01,130761.0
2010-12-01,130834.0
2011-01-01,130878.0
2011-02-01,131060.0
2011-03-01,131314.0
2011-04-01,131637.0
2011-05-01,131718.0
2011-06-01,131952.0
2011-07-01,132024.0
2011-08-01,132136.0
2011-09-01,132369.0
2011-10-01,132578.0
2011-11-01,132723.0
2011-12-01,132924.0
2012-01-01,133272.0
2012-02-01,133505.0
2012-03-01,133769.0
2012-04-01,133841.0
2012-05-01,133958.0
2012-06-01,134026.0
2012-07-01,134182.0
2012-08-01,134355.0
2012-09-01,134549.0
2012-10-01,134702.0
2012-11-01,134832.0
2012-12-01,135075.0
2013-01-01,135282.0
2013-02-01,135547.0
2013-03-01,135703.0
2013-04-01,135882.0
2013-05-01,136122.0
2013-06-01,136280.0
2013-07-01,136391.0
2013-08-01,136651.0
2013-09-01,136852.0
2013-10-01,137062.0
2013-11-01,137283.0
2013-12-01,137376.0
2014-01-01,137550.0
2014-02-01,137732.0
2014-03-01,137993.0
2014-04-01,138304.0
2014-05-01,138556.0
2014-06-01,138862.0
2014-07-01,139058.0
2014-08-01,139284.0
2014-09-01,139568.0
2014-10-01,139823.0
2014-11-01,140130.0
2014-12-01,140381.0
2015-01-01,140592.0
2015-02-01,140859.0
2015-03-01,140937.0
2015-04-01,141219.0
2015-05-01,141545.0
2015-06-01,141736.0
2015-07-01,141992.0
2015-08-01,142156.0
2015-09-01,142244.0
2015-10-01,142595.0
2015-11-01,142859.0
2015-12-01,143093.0
2016-01-01,143196.0
2016-02-01,143453.0
2016-03-01,143688.0
2016-04-01,143862.0
2016-05-01,143896.0
2016-06-01,144181.0
2016-07-01,144506.0
2016-08-01,144681.0
2016-09-01,144945.0
2016-10-01,145085.0
2016-11-01,145257.0
2016-12-01,145437.0
2017-01-01,145696.0
2017-02-01,145896.0
2017-03-01,145969.0
2017-04-01,146144.0
2017-05-01,146299.0
2017-06-01,146538.0
2017-07-01,146728.0
2017-08-01,146949.0
2017-09-01,146963.0
2017-10-01,147234.0
2017-11-01,147450.0
2017-12-01,147625.0
2018-01-01,147801.0
2018-02-01,148125.0
2018-03-01,148260.0
2018-04-01,148424.0
2018-05-01,148662.0
