date_,BASE
1998-08-26,526.521
1998-09-09,529.463
1998-09-23,532.402
1998-10-07,537.522
1998-10-21,535.945
1998-11-04,538.755
1998-11-18,538.114
1998-12-02,541.538
1998-12-16,540.482
1998-12-30,541.525
1999-01-13,542.0
1999-01-27,549.845
1999-02-10,552.116
1999-02-24,552.405
1999-03-10,554.428
1999-03-24,556.745
1999-04-07,558.546
1999-04-21,558.267
1999-05-05,564.007
1999-05-19,565.794
1999-06-02,568.654
1999-06-16,566.01
1999-06-30,569.323
1999-07-14,566.934
1999-07-28,570.433
1999-08-11,571.102
1999-08-25,573.327
1999-09-08,578.279
1999-09-22,582.04
1999-10-06,587.875
1999-10-20,591.116
1999-11-03,599.85
1999-11-17,606.776
1999-12-01,616.827
1999-12-15,625.18
1999-12-29,636.677
2000-01-12,630.52
2000-01-26,607.39
2000-02-09,603.676
2000-02-23,601.55
2000-03-08,599.834
2000-03-22,599.758
2000-04-05,602.461
2000-04-19,599.562
2000-05-03,603.452
2000-05-17,603.132
2000-05-31,607.849
2000-06-14,603.427
2000-06-28,606.904
2000-07-12,605.303
2000-07-26,607.048
2000-08-09,606.436
2000-08-23,605.42
2000-09-06,607.23
2000-09-20,605.041
2000-10-04,611.446
2000-10-18,609.535
2000-11-01,611.982
2000-11-15,608.967
2000-11-29,613.566
2000-12-13,611.244
2000-12-27,613.869
2001-01-10,613.643
2001-01-24,619.075
2001-02-07,621.666
2001-02-21,618.997
2001-03-07,621.433
2001-03-21,621.513
2001-04-04,626.329
2001-04-18,623.026
2001-05-02,628.001
2001-05-16,628.772
2001-05-30,634.162
2001-06-13,629.907
2001-06-27,634.019
2001-07-11,635.261
2001-07-25,640.976
2001-08-08,645.826
2001-08-22,647.202
2001-09-05,654.669
2001-09-19,688.793
2001-10-03,662.714
2001-10-17,665.38
2001-10-31,664.004
2001-11-14,657.529
2001-11-28,665.391
2001-12-12,662.393
2001-12-26,668.02
2002-01-09,668.972
2002-01-23,674.929
2002-02-06,682.602
2002-02-20,681.371
2002-03-06,685.405
2002-03-20,683.259
2002-04-03,689.892
2002-04-17,686.276
2002-05-01,690.656
2002-05-15,690.279
2002-05-29,698.536
2002-06-12,693.018
2002-06-26,698.154
2002-07-10,701.258
2002-07-24,702.894
2002-08-07,705.43
2002-08-21,704.411
2002-09-04,710.614
2002-09-18,701.542
2002-10-02,712.071
2002-10-16,707.288
2002-10-30,711.999
2002-11-13,710.031
2002-11-27,713.872
2002-12-11,715.058
2002-12-25,716.732
2003-01-08,713.933
2003-01-22,721.449
2003-02-05,728.574
2003-02-19,727.736
2003-03-05,732.9
2003-03-19,730.796
2003-04-02,736.843
2003-04-16,732.764
2003-04-30,737.979
2003-05-14,737.161
2003-05-28,744.404
2003-06-11,737.884
2003-06-25,740.908
2003-07-09,741.602
2003-07-23,743.783
2003-08-06,745.284
2003-08-20,748.81
2003-09-03,752.909
2003-09-17,744.265
2003-10-01,753.975
2003-10-15,748.618
2003-10-29,756.753
2003-11-12,751.709
2003-11-26,755.76
2003-12-10,755.814
2003-12-24,754.886
2004-01-07,752.57
2004-01-21,757.899
2004-02-04,765.711
2004-02-18,761.906
2004-03-03,765.408
2004-03-17,763.493
2004-03-31,767.243
2004-04-14,763.959
2004-04-28,769.922
2004-05-12,769.39
2004-05-26,773.124
2004-06-09,772.881
2004-06-23,775.008
2004-07-07,779.017
2004-07-21,783.986
2004-08-04,785.467
2004-08-18,783.24
2004-09-01,788.414
2004-09-15,786.17
2004-09-29,794.241
2004-10-13,787.897
2004-10-27,793.887
2004-11-10,790.842
2004-11-24,794.299
2004-12-08,794.154
2004-12-22,789.19
2005-01-05,785.114
2005-01-19,793.825
2005-02-02,806.171
2005-02-16,797.116
2005-03-02,803.787
2005-03-16,798.814
2005-03-30,804.425
2005-04-13,798.934
2005-04-27,803.524
2005-05-11,800.815
2005-05-25,803.174
2005-06-08,803.8
2005-06-22,805.24
2005-07-06,805.009
2005-07-20,808.913
2005-08-03,811.994
2005-08-17,809.844
2005-08-31,813.471
2005-09-14,811.394
2005-09-28,821.501
2005-10-12,813.776
2005-10-26,817.326
2005-11-09,812.567
2005-11-23,818.802
2005-12-07,817.639
2005-12-21,814.846
2006-01-04,818.343
2006-01-18,826.644
2006-02-01,835.626
2006-02-15,829.055
2006-03-01,836.162
2006-03-15,833.188
2006-03-29,836.56
2006-04-12,831.291
2006-04-26,836.814
2006-05-10,836.958
2006-05-24,840.14
2006-06-07,837.908
2006-06-21,837.28
2006-07-05,835.056
2006-07-19,837.891
2006-08-02,838.763
2006-08-16,836.519
2006-08-30,839.996
2006-09-13,835.698
2006-09-27,841.9
2006-10-11,834.915
2006-10-25,839.061
2006-11-08,835.103
2006-11-22,838.856
2006-12-06,841.673
2006-12-20,836.216
2007-01-03,839.806
2007-01-17,846.785
2007-01-31,852.225
2007-02-14,843.25
2007-02-28,851.152
2007-03-14,847.272
2007-03-28,850.64
2007-04-11,845.877
2007-04-25,849.755
2007-05-09,850.541
2007-05-23,851.752
2007-06-06,851.011
2007-06-20,851.782
2007-07-04,849.612
2007-07-18,854.668
2007-08-01,855.972
2007-08-15,860.837
2007-08-29,854.847
2007-09-12,850.803
2007-09-26,859.067
2007-10-10,855.454
2007-10-24,856.75
2007-11-07,853.302
2007-11-21,857.765
2007-12-05,854.209
2007-12-19,846.248
2008-01-02,847.985
2008-01-16,854.365
2008-01-30,860.575
2008-02-13,852.725
2008-02-27,860.706
2008-03-12,857.871
2008-03-26,864.872
2008-04-09,855.422
2008-04-23,856.653
2008-05-07,856.633
2008-05-21,861.305
2008-06-04,864.113
2008-06-18,864.457
2008-07-02,864.287
2008-07-16,873.242
2008-07-30,876.418
2008-08-13,875.248
2008-08-27,876.969
2008-09-10,874.831
2008-09-24,949.813
2008-10-08,1016.66
2008-10-22,1182.36
2008-11-05,1264.97
2008-11-19,1505.04
2008-12-03,1493.99
2008-12-17,1671.47
2008-12-31,1690.83
2009-01-14,1772.04
2009-01-28,1752.51
2009-02-11,1554.47
2009-02-25,1624.61
2009-03-11,1569.21
2009-03-25,1729.2
2009-04-08,1752.63
2009-04-22,1818.87
2009-05-06,1736.08
2009-05-20,1836.31
2009-06-03,1791.68
2009-06-17,1749.75
2009-07-01,1639.52
2009-07-15,1707.27
2009-07-29,1702.42
2009-08-12,1677.06
2009-08-26,1769.36
2009-09-09,1785.56
2009-09-23,1837.7
2009-10-07,1883.68
2009-10-21,1963.53
2009-11-04,2024.35
2009-11-18,2010.41
2009-12-02,2081.36
2009-12-16,2036.05
2009-12-30,1994.44
2010-01-13,1971.43
2010-01-27,2059.53
2010-02-10,2093.98
2010-02-24,2183.73
2010-03-10,2149.17
2010-03-24,2100.23
2010-04-07,2076.27
2010-04-21,2048.45
2010-05-05,2002.72
2010-05-19,2050.98
2010-06-02,2036.42
2010-06-16,2035.15
2010-06-30,2012.43
2010-07-14,2027.93
2010-07-28,2017.49
2010-08-11,2026.6
2010-08-25,2030.25
2010-09-08,2005.66
2010-09-22,1999.0
2010-10-06,1972.28
2010-10-20,2003.25
2010-11-03,1985.28
2010-11-17,1983.6
2010-12-01,1996.07
2010-12-15,2031.62
2010-12-29,1982.76
2011-01-12,2034.87
2011-01-26,2101.33
2011-02-09,2132.78
2011-02-23,2275.16
2011-03-09,2355.03
2011-03-23,2439.36
2011-04-06,2490.45
2011-04-20,2548.91
2011-05-04,2513.92
2011-05-18,2586.55
2011-06-01,2625.32
2011-06-15,2696.41
2011-06-29,2645.92
2011-07-13,2725.29
2011-07-27,2710.8
2011-08-10,2704.46
2011-08-24,2689.17
2011-09-07,2672.47
2011-09-21,2684.75
2011-10-05,2656.82
2011-10-19,2698.94
2011-11-02,2637.19
2011-11-16,2652.12
2011-11-30,2581.28
2011-12-14,2631.56
2011-12-28,2559.2
2012-01-11,2659.93
2012-01-25,2683.57
2012-02-08,2688.47
2012-02-22,2753.05
2012-03-07,2722.21
2012-03-21,2692.01
2012-04-04,2658.69
2012-04-18,2691.4
2012-05-02,2646.49
2012-05-16,2638.63
2012-05-30,2641.71
2012-06-13,2678.94
2012-06-27,2604.88
2012-07-11,2651.19
2012-07-25,2694.19
2012-08-08,2703.14
2012-08-22,2690.23
2012-09-05,2652.13
2012-09-19,2655.95
2012-10-03,2589.86
2012-10-17,2652.2
2012-10-31,2642.39
2012-11-14,2661.65
2012-11-28,2651.08
2012-12-12,2667.93
2012-12-26,2633.41
2013-01-09,2705.68
2013-01-23,2796.27
2013-02-06,2828.88
2013-02-20,2879.28
2013-03-06,2916.32
2013-03-20,2976.94
2013-04-03,2986.0
2013-04-17,3061.74
2013-05-01,3034.2
2013-05-15,3105.63
2013-05-29,3172.84
2013-06-12,3245.33
2013-06-26,3191.84
2013-07-10,3272.83
2013-07-24,3326.43
2013-08-07,3393.9
2013-08-21,3427.95
2013-09-04,3465.74
2013-09-18,3545.85
2013-10-02,3528.37
2013-10-16,3624.97
2013-10-30,3628.27
2013-11-13,3682.38
2013-11-27,3689.51
2013-12-11,3715.82
2013-12-25,3670.28
2014-01-08,3665.77
2014-01-22,3819.25
2014-02-05,3789.04
2014-02-19,3883.63
2014-03-05,3897.79
2014-03-19,3963.54
2014-04-02,3885.19
2014-04-16,4011.86
2014-04-30,3927.56
2014-05-14,3928.38
2014-05-28,3933.71
2014-06-11,4006.88
2014-06-25,3963.26
2014-07-09,3914.48
2014-07-23,4041.14
2014-08-06,4121.2
2014-08-20,4125.52
2014-09-03,4084.45
2014-09-17,4149.83
2014-10-01,4036.18
2014-10-15,4114.31
2014-10-29,3976.0
2014-11-12,3887.62
2014-11-26,3813.01
2014-12-10,3738.42
2014-12-24,3994.6
2015-01-07,3941.2
2015-01-21,4139.6
2015-02-04,4036.79
2015-02-18,3883.11
2015-03-04,3807.83
2015-03-18,4144.63
2015-04-01,4064.17
2015-04-15,4167.78
2015-04-29,4027.91
2015-05-13,4010.73
2015-05-27,3951.59
2015-06-10,3949.52
2015-06-24,3953.14
2015-07-08,3903.27
2015-07-22,4036.56
2015-08-05,4019.7
2015-08-19,3967.38
2015-09-02,4075.49
2015-09-16,4165.88
2015-09-30,3981.04
2015-10-14,4104.94
2015-10-28,4087.02
2015-11-11,4065.03
2015-11-25,3995.12
2015-12-09,3908.73
2015-12-23,3822.11
2016-01-06,3649.91
2016-01-20,3920.59
2016-02-03,3828.89
2016-02-17,3923.78
2016-03-02,3912.29
2016-03-16,3995.52
2016-03-30,3874.93
2016-04-13,3923.71
2016-04-27,3897.74
2016-05-11,3870.26
2016-05-25,3837.94
2016-06-08,3901.07
2016-06-22,3873.99
2016-07-06,3744.2
2016-07-20,3821.53
2016-08-03,3823.81
2016-08-17,3872.65
2016-08-31,3828.17
2016-09-14,3905.63
2016-09-28,3683.09
2016-10-12,3584.45
2016-10-26,3600.36
2016-11-09,3640.34
2016-11-23,3637.76
2016-12-07,3594.19
2016-12-21,3520.58
2017-01-04,3418.45
2017-01-18,3675.55
2017-02-01,3664.34
2017-02-15,3779.86
2017-03-01,3793.47
2017-03-15,3929.58
2017-03-29,3861.65
2017-04-12,3868.89
2017-04-26,3861.52
2017-05-10,3785.52
2017-05-24,3790.2
2017-06-07,3832.17
2017-06-21,3807.7
2017-07-05,3704.43
2017-07-19,3838.65
2017-08-02,3870.81
2017-08-16,3945.96
2017-08-30,3942.28
2017-09-13,4002.26
2017-09-27,3857.52
2017-10-11,3834.51
2017-10-25,3864.93
2017-11-08,3879.89
2017-11-22,3925.61
2017-12-06,3884.55
2017-12-20,3847.72
2018-01-03,3748.93
2018-01-17,3919.27
2018-01-31,3843.11
2018-02-14,3902.36
2018-02-28,3878.86
2018-03-14,3909.48
2018-03-28,3771.3
2018-04-11,3779.14
2018-04-25,3767.26
2018-05-09,3691.55
2018-05-23,3692.08
2018-06-06,3714.07
